acc_x (m/s^2), acc_y (m/s^2), angular_z (rad/s), stamp, 
0.016233503818511963, -0.005359232425689697, 6.329899769706948e-10, 1759503123514828972, 
-0.02547752857208252, 0.0073912739753723145, -7.893884069795196e-07, 1759503123552531723, 
-0.007582604885101318, 0.021779656410217285, 8.493552206905087e-10, 1759503123582567415, 
0.024729251861572266, -0.017720699310302734, 7.324136775821576e-10, 1759503123612572675, 
0.010189533233642578, -0.01607280969619751, -9.477291265234201e-07, 1759503123643996144, 
0.02094179391860962, -0.0015810132026672363, 6.789610450826682e-10, 1759503123675314569, 
-0.004112899303436279, -0.0158880352973938, -7.932007486601526e-07, 1759503123712838755, 
0.021245956420898438, 0.005752384662628174, 5.568081727253496e-10, 1759503123742801800, 
-0.00025588274002075195, 0.009344995021820068, 5.179553129580232e-10, 1759503123773630134, 
0.006920039653778076, 0.0074402689933776855, -9.807319212709172e-07, 1759503123804002969, 
0.010674595832824707, -0.0016483664512634277, 3.704740277858685e-10, 1759503123835547580, 
0.018154442310333252, -0.008753359317779541, 2.765477528698619e-10, 1759503123863727004, 
-0.00506281852722168, -0.005293011665344238, 1.9131343597504528e-10, 1759503123893627116, 
-0.021108031272888184, 0.0017158985137939453, 1.3104780357538278e-10, 1759503123923585955, 
-0.033302485942840576, 0.0072560906410217285, 5.932221588833233e-11, 1759503123953573834, 
-0.02921903133392334, 0.014083802700042725, -3.529309254000722e-11, 1759503123983861257, 
-0.0340002179145813, 0.017177164554595947, -4.130399730228282e-11, 1759503124013737977, 
0.023946642875671387, -0.03347212076187134, 9.74887852001969e-07, 1759503124044310864, 
0.02419990301132202, -0.026366353034973145, 1.4834112602165344e-10, 1759503124076580136, 
0.004706203937530518, 0.009667456150054932, 6.408589692340085e-11, 1759503124103632614, 
0.024769604206085205, -0.013696491718292236, 1.0169549360114457e-06, 1759503124132940129, 
0.00874185562133789, 0.000618278980255127, 9.688087094273837e-07, 1759503124163704589, 
0.006450295448303223, 0.0012629032135009766, 6.9587367499378246e-12, 1759503125124625632, 
-0.008314371109008789, -0.010938107967376709, -7.134981856150478e-07, 1759503125196480636, 
-0.0011756420135498047, 0.007114827632904053, 8.187416656939766e-11, 1759503125228545125, 
-0.0028786659240722656, 0.01985800266265869, 1.4000053617210514e-10, 1759503125264813680, 
-0.0028571486473083496, -0.021220386028289795, 1.102611148979462e-10, 1759503125294883146, 
-0.0009511113166809082, 0.009572923183441162, 1.2868292113487629e-10, 1759503125324875464, 
-0.0025588274002075195, 0.0024071335792541504, 9.031962464211133e-11, 1759503125356861897, 
-0.009468913078308105, -0.013092517852783203, -0.0002249779032778592, 1759503125388389363, 
0.013451039791107178, 0.001103520393371582, 0.0004112760999109445, 1759503125415200399, 
0.7976586818695068, 0.23467421531677246, 0.04429861454726133, 1759503125445101540, 
-0.6613919734954834, 0.434847891330719, 0.33692941259823406, 1759503125475176404, 
0.2739351987838745, 0.21196913719177246, 0.5764571745430827, 1759503125505202232, 
0.23936247825622559, -0.32742953300476074, 0.6058677712369854, 1759503125535356707, 
-0.5226312875747681, -0.04703819751739502, 0.5795864073205949, 1759503125565272833, 
0.3695923686027527, -0.15006941556930542, 0.5054698581795867, 1759503125596532554, 
-0.36965304613113403, 0.17876678705215454, 0.45930810850712733, 1759503125628218839, 
0.3430960178375244, -0.023424863815307617, 0.579185690382102, 1759503125655415648, 
-0.24595439434051514, -0.11966848373413086, 0.5178220821078237, 1759503125685384584, 
0.037981510162353516, -0.30360090732574463, 0.44937800093230884, 1759503125707606529, 
-0.18990880250930786, 0.03925633430480957, 0.5085872848059988, 1759503125735582668, 
0.05054086446762085, 0.25310713052749634, 0.4809402997642488, 1759503125765857972, 
-0.06603091955184937, 0.20209789276123047, 0.5139811507214488, 1759503125795564461, 
0.33901190757751465, 0.05260324478149414, 0.5563182297416698, 1759503125825601454, 
0.11452299356460571, -0.11795109510421753, 0.6646813638488566, 1759503125855717720, 
0.16570204496383667, 0.053874194622039795, 0.6064882573411443, 1759503126236684940, 
-0.43128901720046997, 0.21165144443511963, -0.013587100685953474, 1759503126268225952, 
-0.022695302963256836, -0.3123030662536621, -0.04643439462974025, 1759503126298509077, 
-0.06907904148101807, 0.008135497570037842, -0.02861919006279364, 1759503126326260263, 
0.7793927788734436, 0.8149289488792419, 0.10358434755456093, 1759503126356294823, 
0.5740047693252563, 0.23523032665252686, 0.2662277488946482, 1759503126378004091, 
-1.0578826665878296, 0.15878725051879883, 0.5295020309861961, 1759503126416494093, 
-0.37165021896362305, -0.19824159145355225, 0.742214330038125, 1759503126446621902, 
0.9200102090835571, 0.03230774402618408, 0.8833291385150196, 1759503126476602889, 
-0.06380736827850342, 0.30500614643096924, 0.8606420011485779, 1759503126508647544, 
0.1477012038230896, -0.24027544260025024, 0.8130572571505011, 1759503126539344386, 
-0.36365628242492676, -0.002651035785675049, 0.8631815992250382, 1759503126566768204, 
0.19472897052764893, 0.028189122676849365, 0.7671336389033327, 1759503126596690790, 
0.023863911628723145, -0.18431389331817627, 0.7138009155897784, 1759503126626747524, 
0.30162858963012695, -0.4066120982170105, 0.6229412932811695, 1759503126656987661, 
-0.03681880235671997, -0.2329179048538208, 0.4626310477337643, 1759503126686803148, 
-0.26803141832351685, 0.0006194710731506348, 0.3763763001106743, 1759503126716866414, 
-0.07337307929992676, 0.2593027353286743, 0.3629130822903063, 1759503126748628871, 
0.048511385917663574, 0.05466538667678833, 0.42754523658641663, 1759503126780070874, 
0.20491915941238403, -0.14261871576309204, 0.5497085905683785, 1759503126807271535, 
-0.1395387053489685, 0.27608323097229004, 0.48421162623281894, 1759503126836994541, 
0.1323843002319336, 0.11798375844955444, 0.47921246258570777, 1759503126867088771, 
0.16500580310821533, -0.20321142673492432, 0.46867660441038145, 1759503126897098450, 
-0.27566975355148315, -0.09721672534942627, 0.46719368930242, 1759503126927229042, 
0.02561342716217041, 0.2817707657814026, 0.4985820031838433, 1759503126957386914, 
-0.17633843421936035, -0.0366019606590271, 0.4850491367082689, 1759503126988396983, 
0.31860870122909546, -0.12347346544265747, 0.4340161712504547, 1759503127021075102, 
-0.04098677635192871, 0.171003520488739, 0.5588940336846412, 1759503127047366319, 
0.23936021327972412, 0.05574983358383179, 0.500468235525764, 1759503127077353214, 
-0.2656816244125366, -0.3134912848472595, 0.47196064779090274, 1759503127107385946, 
-0.0757799744606018, -0.08494168519973755, 0.4261168113398349, 1759503127137388802, 
-0.7550162076950073, -0.11030435562133789, 0.36257528005302486, 1759503127167453107, 
-0.17910128831863403, -0.20962762832641602, 0.14600846968892167, 1759503127196647499, 
-0.608272135257721, -0.49401915073394775, 0.01669903988194161, 1759503127228430622, 
-0.04799312353134155, 0.18516695499420166, -0.012959604572676494, 1759503127260311733, 
0.13315361738204956, 0.1138489842414856, -0.00133922497276228, 1759503127288128069, 
-0.25993919372558594, -0.03499406576156616, -0.009103949085033144, 1759503127316961725, 
0.06599253416061401, 0.14399570226669312, 2.424721348014605e-05, 1759503127347809301, 
0.13174962997436523, -0.012072920799255371, 0.006803018847787797, 1759503127377817466, 
-0.014043211936950684, -0.09606361389160156, -0.007865031466553993, 1759503127407805265, 
0.05382448434829712, -0.0674784779548645, 0.002710463033824804, 1759503127437844967, 
0.02702617645263672, 0.05470377206802368, 0.0017441799907521515, 1759503127468891574, 
0.0007926225662231445, 0.006089985370635986, -0.001695253152638497, 1759503127500482794, 
-0.014791309833526611, 0.0384867787361145, 0.0013711704970229648, 1759503127528347016, 
0.001335740089416504, -0.01917821168899536, -0.0006913344763571811, 1759503127558781543, 
-0.038593590259552, -0.06433713436126709, 0.00018992049210553636, 1759503127588749390, 
0.04575079679489136, -0.0055735111236572266, 0.0025917920241143727, 1759503127617910158, 
0.7817912101745605, 0.6716024279594421, 0.05972566443950766, 1759503127648704930, 
1.0109314918518066, 0.1568625569343567, 0.26126853185299054, 1759503127678723589, 
0.05508226156234741, 0.0010104775428771973, 0.40212680338839535, 1759503127708965140, 
1.1777849197387695, 0.0997210144996643, 0.5032761263340084, 1759503127740720875, 
-0.015605688095092773, 0.46171581745147705, 0.5806437546709733, 1759503127770056291, 
0.3093550205230713, 0.13590502738952637, 0.7134656094637735, 1759503127799085301, 
-0.4752422571182251, -0.26006942987442017, 0.7253052034512459, 1759503127828854723, 
0.06868201494216919, -0.1646081805229187, 0.6828803874805046, 1759503127858832366, 
-0.5557282567024231, 0.06061148643493652, 0.5970206701651569, 1759503127888874906, 
0.20017367601394653, -0.09844404458999634, 0.5081141661080383, 1759503127918869686, 
-0.2584824562072754, 0.03715628385543823, 0.47906589436543656, 1759503127947905465, 
0.6061246395111084, 0.1922643780708313, 0.4295597228128912, 1759503127980648161, 
-0.246135413646698, 0.31972044706344604, 0.520994154029319, 1759503128011392004, 
0.2958637475967407, -0.12687969207763672, 0.6148196124247662, 1759503128039005301, 
-0.11266040802001953, -0.12404084205627441, 0.5682382028728072, 1759503128067915606, 
-0.24831753969192505, 0.040982604026794434, 0.5720637184583457, 1759503128097943832, 
-0.36939239501953125, 0.2176763415336609, 0.5513647943553425, 1759503128129017578, 
0.7944522500038147, 0.023946642875671387, 0.5907225419580597, 1759503128159082910, 
-0.5676310062408447, 0.03452491760253906, 0.5563024993774884, 1759503128189393823, 
0.006748795509338379, 0.011378169059753418, 0.5132842737621593, 1759503128220722903, 
-0.20826774835586548, -0.09546661376953125, 0.47992571414930385, 1759503128251425040, 
-0.09304255247116089, 0.021751224994659424, 0.5071055981459243, 1759503128279171757, 
0.20461368560791016, 0.11873000860214233, 0.47833296228224964, 1759503128309323768, 
0.032527923583984375, 0.014722585678100586, 0.49914387091218343, 1759503128339105850, 
-0.07432061433792114, 0.04519528150558472, 0.4881511340447578, 1759503128359687598, 
-0.2521335482597351, -0.07009148597717285, 0.5273702078748714, 1759503128389133270, 
0.023319363594055176, -0.07878202199935913, 0.4434037550315462, 1759503128412474839, 
0.02586299180984497, 0.2986164093017578, 0.564970379398994, 1759503128449248003, 
0.2992945909500122, -0.11389905214309692, 0.5076045566249332, 1759503128479517713, 
-0.14348244667053223, 0.006182610988616943, 0.5156045686000913, 1759503128509320716, 
0.12872910499572754, -0.20717573165893555, 0.5019416813269936, 1759503128540201977, 
0.14646250009536743, 0.014610588550567627, 0.4504947440029693, 1759503128572485155, 
-0.14187169075012207, 0.28061795234680176, 0.5396211506744693, 1759503128599684578, 
0.14379894733428955, -0.10640537738800049, 0.47644033729181995, 1759503128629502228, 
-0.27687186002731323, 0.042325615882873535, 0.4938060383938852, 1759503128659625477, 
0.09910964965820312, -0.007889866828918457, 0.511908525457646, 1759503128689591498, 
0.22548818588256836, 0.04533243179321289, 0.5067499416560096, 1759503128719720260, 
-0.03984630107879639, 0.10012292861938477, 0.5125281172509649, 1759503128749680263, 
-0.04146295785903931, -0.014909982681274414, 0.49854538110500596, 1759503128780231459, 
-0.14777648448944092, 0.1369737982749939, 0.4593554300903855, 1759503128813031194, 
0.5556938648223877, 0.024948716163635254, 0.556067229031421, 1759503128839880649, 
-0.3122912049293518, 0.18988841772079468, 0.47520274894023057, 1759503128869825062, 
0.036500513553619385, -0.19445472955703735, 0.46597149006805105, 1759503128899881114, 
0.24411457777023315, 0.006359517574310303, 0.4869737867742519, 1759503128930023389, 
-0.4567716717720032, 0.052625417709350586, 0.5079793315154546, 1759503128959953666, 
0.0939437747001648, 0.11612874269485474, 0.5015737891706894, 1759503128989981151, 
0.1328592300415039, 0.046045899391174316, 0.510667609907119, 1759503129020349414, 
0.43101590871810913, -0.09183841943740845, 0.4752320423385325, 1759503129052258611, 
-0.3315412402153015, -0.009698450565338135, 0.5219798694469457, 1759503129080304752, 
0.5272135138511658, 0.10360151529312134, 0.4911626730704356, 1759503129110336666, 
-0.31478893756866455, -0.12658023834228516, 0.5359101875243169, 1759503129140187679, 
0.4062514305114746, 0.1619858741760254, 0.527769917167683, 1759503129170201092, 
-0.15328353643417358, 0.013424158096313477, 0.5134545105467304, 1759503129200472247, 
-0.012245714664459229, 0.03769385814666748, 0.5207719447494983, 1759503129230472314, 
-0.08053380250930786, 0.03410834074020386, 0.4836147351442435, 1759503129260946573, 
-0.03722739219665527, -0.05173778533935547, 0.4652456262243821, 1759503129292482759, 
-0.018276870250701904, 0.12581193447113037, 0.5002160695316493, 1759503129322871490, 
-0.3205987811088562, 0.035272300243377686, 0.576010255107675, 1759503129350469676, 
0.09237676858901978, -0.05535918474197388, 0.5178016355666362, 1759503129380580443, 
0.06631165742874146, -0.22307711839675903, 0.5353253905301026, 1759503129409598062, 
-0.005840122699737549, -0.0782654881477356, 0.47524265218195433, 1759503129440640269, 
0.3212321400642395, 0.0708346962928772, 0.49991692784767217, 1759503129470846080, 
-0.12107163667678833, 0.20581018924713135, 0.4944005501983043, 1759503129500752088, 
0.13823074102401733, 0.1281275749206543, 0.4883850012878763, 1759503129532199334, 
0.3364817500114441, -0.12713634967803955, 0.4831814852721973, 1759503129564191099, 
-0.10522115230560303, -0.08039098978042603, 0.589507355102261, 1759503129590947203, 
