acc_x (m/s^2), acc_y (m/s^2), angular_z (rad/s), stamp, 
-0.010335385799407959, 0.020910561084747314, -5.659163364024305e-10, 1759502790084248294, 
-0.005011022090911865, -0.011539220809936523, -4.35887082663525e-10, 1759502790116139032, 
0.0057869553565979, -0.006085753440856934, -4.76100115510881e-10, 1759502790143384714, 
-0.003371596336364746, -0.007828116416931152, 1.9809730237559196e-06, 1759502790173467299, 
-0.014246463775634766, 0.010153234004974365, -2.0800932279658374e-10, 1759502790196164909, 
0.014420032501220703, 0.021021604537963867, -5.115411113838441e-10, 1759502790233674138, 
0.019677460193634033, -0.004101753234863281, -3.100290462564087e-10, 1759502790263655845, 
0.019412696361541748, -0.023906409740447998, -2.359817626388627e-10, 1759502790293753418, 
-0.022070109844207764, -0.0039733052253723145, 1.8977428099033621e-06, 1759502790325158749, 
0.022776246070861816, -0.0003695487976074219, -1.585007916803169e-10, 1759502790356891649, 
0.01356571912765503, 0.00866323709487915, -1.3636960931762566e-10, 1759502790383676428, 
-0.01903069019317627, 0.015480339527130127, -4.033092608156571e-11, 1759502790413875682, 
0.002473294734954834, -0.01700657606124878, -1.2144226602547684e-11, 1759502790443775155, 
-0.008469820022583008, -0.01173180341720581, 3.942031945291705e-13, 1759502790473888200, 
0.030951857566833496, -0.0010051131248474121, 9.526318836536029e-12, 1759502790504011950, 
-0.00343930721282959, -0.015539824962615967, 6.749034439058189e-12, 1759502790533790128, 
0.007127106189727783, 0.016769051551818848, 1.472601100215552e-12, 1759502790565175626, 
0.005224108695983887, -0.030010104179382324, -2.6105869262082988e-12, 1759502790595944175, 
-0.014625012874603271, 0.029252052307128906, -1.0697016172223915e-11, 1759502790624112725, 
0.01750349998474121, 0.016455650329589844, -5.52533267943595e-11, 1759502790653999736, 
0.01532810926437378, -0.007351934909820557, -1.5628136161693056e-10, 1759502790684067475, 
0.022241175174713135, -0.0018108487129211426, -1.8175288914973561e-10, 1759502790714117593, 
0.0057825446128845215, 0.0019069314002990723, -1.897587681634175e-10, 1759502790744303111, 
0.00745469331741333, 0.00010883808135986328, -1.578999868534144e-10, 1759502790774448441, 
0.012649893760681152, 0.00019311904907226562, -1.1500123639860234e-10, 1759502790805851497, 
0.005128204822540283, 9.202957153320312e-05, -1.980867054755569e-06, 1759502790835943685, 
-0.05264246463775635, -0.033910393714904785, -2.1710520732442364e-06, 1759502790863399792, 
-0.025671660900115967, 0.016640067100524902, -1.9220145746992144e-06, 1759502790894412067, 
0.024442851543426514, 0.021790742874145508, -1.9903907648885113e-06, 1759502790924359269, 
-0.004467368125915527, -0.007219076156616211, -1.9821210389334095e-06, 1759502790954433889, 
0.01701819896697998, -0.021787643432617188, -3.2414657494114233e-10, 1759502790984697783, 
0.03513932228088379, -0.0037155747413635254, -2.4461070612885285e-10, 1759502791014618425, 
0.037175655364990234, 0.02337944507598877, -1.7794744133072062e-10, 1759502791045245596, 
