x (m), y (m), th (rad), stamp, 
1.684367299079895, -4.439075469970703, 1.0082579737456396, 1759502790085750259, 
1.684367299079895, -4.439075469970703, 1.0082581105172381, 1759502790115011147, 
1.684367299079895, -4.439075469970703, 1.0082583812423072, 1759502790183727434, 
1.684367299079895, -4.439075469970703, 1.0082583682024449, 1759502790233735193, 
1.684367299079895, -4.439075469970703, 1.0082583631115973, 1759502790275797024, 
1.684367299079895, -4.439075469970703, 1.0082583633874853, 1759502790326706045, 
1.684367299079895, -4.439075469970703, 1.0082583682036188, 1759502790377845620, 
1.684367299079895, -4.439075469970703, 1.0082581108139825, 1759502790423798011, 
1.684367299079895, -4.439075469970703, 1.0082580110163342, 1759502790473184388, 
1.684367299079895, -4.439075469970703, 1.008258016595682, 1759502790515237565, 
1.684367299079895, -4.439075469970703, 1.0082580363831177, 1759502790583024246, 
1.684367299079895, -4.439075469970703, 1.0082580363831177, 1759502790616746445, 
1.684367299079895, -4.439075469970703, 1.0082582635300008, 1759502790675870997, 
1.684367299079895, -4.439075469970703, 1.008258390466163, 1759502790725749833, 
1.684367299079895, -4.439075469970703, 1.0082583009047366, 1759502790776668870, 
1.684367299079895, -4.439075469970703, 1.0082582851674222, 1759502790824060851, 
1.684367299079895, -4.439075469970703, 1.0082583360209914, 1759502790886672526, 
1.684367299079895, -4.439075469970703, 1.0082583981195616, 1759502790937725638, 
1.684367299079895, -4.439075469970703, 1.0082584437032325, 1759502790984443717, 
1.684367299079895, -4.439075469970703, 1.0082586852620121, 1759502791034215234, 
1.684367299079895, -4.439075469970703, 1.0082584748420376, 1759502791076019509, 
1.684367299079895, -4.439075469970703, 1.0082584549779654, 1759502791126962223, 
1.684367299079895, -4.439075469970703, 1.008258041562066, 1759502791178841131, 
1.684367299079895, -4.439075469970703, 1.0082583506273308, 1759502791223934636, 
1.684367299079895, -4.439075469970703, 1.0082583685431508, 1759502791275798285, 
1.684367299079895, -4.439075469970703, 1.0082583787163892, 1759502791315433229, 
1.684367299079895, -4.439075469970703, 1.0082583302228572, 1759502791385552019, 
1.684367299079895, -4.439075469970703, 1.0082582787181729, 1759502791435533961, 
1.684367299079895, -4.439075469970703, 1.0082582920395955, 1759502791475751706, 
1.684367299079895, -4.439075469970703, 1.0082583041079776, 1759502791526771008, 
1.684367299079895, -4.439075469970703, 1.0082583038431627, 1759502791575761069, 
1.684367299079895, -4.439075469970703, 1.0082582916459315, 1759502791625057783, 
1.684367299079895, -4.439075469970703, 1.0082583584272846, 1759502791675115368, 
1.684367299079895, -4.439075469970703, 1.0082583473991833, 1759502791735202201, 
1.684367299079895, -4.439075469970703, 1.0082583507894807, 1759502791785068377, 
1.684367299079895, -4.439075469970703, 1.0082583639228309, 1759502791834953092, 
1.684367299079895, -4.439075469970703, 1.008258265808931, 1759502791875838560, 
1.684367299079895, -4.439075469970703, 1.008258278117311, 1759502791926680873, 
1.684367299079895, -4.439075469970703, 1.008258237648132, 1759502791975715901, 
1.684367299079895, -4.439075469970703, 1.008258237648132, 1759502792025034333, 
1.684367299079895, -4.439075469970703, 1.008258237648132, 1759502792074935018, 
1.684367299079895, -4.439075469970703, 1.008258237648132, 1759502792115118973, 
1.684367299079895, -4.439075469970703, 1.0082583727967032, 1759502792185463766, 
1.685360074043274, -4.437477111816406, 1.0083665676653732, 1759502792235351843, 
1.6872204542160034, -4.434503555297852, 1.0081162443189766, 1759502792275732719, 
1.6907938718795776, -4.429009914398193, 1.0081589316037076, 1759502792326731280, 
1.6953589916229248, -4.42155122756958, 1.008501081279564, 1759502792375818124, 
1.701303243637085, -4.412652492523193, 1.0088379068106212, 1759502792425831040, 
1.7080440521240234, -4.402252197265625, 1.0088379068106212, 1759502792475795277, 
1.716357946395874, -4.388975620269775, 1.0090545673296185, 1759502792535801369, 
1.720508337020874, -4.382760524749756, 1.0093852780521417, 1759502792566584821, 
1.7292662858963013, -4.368310451507568, 1.0079725754063633, 1759502792636153462, 
1.7346289157867432, -4.359835624694824, 1.0079725754063633, 1759502792676017107, 
1.7412258386611938, -4.349513053894043, 1.0089407622511788, 1759502792727681212, 
1.7480149269104004, -4.338957786560059, 1.0089407622511788, 1759502792775722317, 
1.7544617652893066, -4.328625679016113, 1.009081461002615, 1759502792825874288, 
1.7609518766403198, -4.318277835845947, 1.0106687073136367, 1759502792876072442, 
1.7688241004943848, -4.3054327964782715, 1.0120088613241314, 1759502792935061005, 
1.7751257419586182, -4.2952728271484375, 1.0112748427453553, 1759502792985400055, 
1.7818228006362915, -4.284858703613281, 1.0110214624791398, 1759502793036690005, 
1.7871743440628052, -4.276179313659668, 1.0093326581889313, 1759502793076002768, 
1.793745756149292, -4.2657856941223145, 1.0072036120692798, 1759502793125534864, 
1.800371766090393, -4.255441188812256, 1.0072036120692798, 1759502793175045233, 
1.806915521621704, -4.244972229003906, 1.006904368112575, 1759502793225116354, 
1.8135547637939453, -4.23439884185791, 1.0067375556318194, 1759502793276735546, 
1.8212440013885498, -4.222004413604736, 1.0069502853180348, 1759502793335050665, 
1.8252016305923462, -4.215714931488037, 1.0069502853180348, 1759502793365547092, 
1.8345540761947632, -4.201136112213135, 1.0071375980203525, 1759502793436249421, 
1.8396823406219482, -4.192873477935791, 1.0082712060046441, 1759502793476692648, 
1.8462735414505005, -4.182299613952637, 1.0082712060046441, 1759502793525480093, 
1.8529163599014282, -4.171884536743164, 1.0082712060046441, 1759502793575855343, 
1.8593429327011108, -4.161762237548828, 1.0082712060046441, 1759502793625609090, 
1.866344928741455, -4.150935173034668, 1.0082712060046441, 1759502793676677709, 
1.8716803789138794, -4.14253568649292, 1.0082712060046441, 1759502793716101663, 
1.8805816173553467, -4.127961158752441, 1.0099806129128734, 1759502793785124111, 
1.8870824575424194, -4.117250919342041, 1.0099806129144049, 1759502793836781541, 
1.892413854598999, -4.108785629272461, 1.0102594661496567, 1759502793876771438, 
1.8988851308822632, -4.098321914672852, 1.0102594661474833, 1759502793925882595, 
