x (m), y (m), th (rad), stamp, 
2.610797882080078, -2.9646658897399902, 1.0149359558395228, 1759502837478723738, 
2.610797882080078, -2.9646658897399902, 1.0149359558395228, 1759502837528527460, 
2.610797882080078, -2.9646658897399902, 1.0149359558395228, 1759502837578235063, 
2.610797882080078, -2.9646658897399902, 1.0149359558395228, 1759502837628134517, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502837678224081, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502837737969096, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502837788736186, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502837838060107, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502837878198862, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502837928309602, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502837978095581, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838029240352, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838078242948, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838118466546, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838188674725, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838218288274, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838277975210, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838328165117, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838378144273, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838428300797, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838478386340, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838519741035, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838588163063, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838618128842, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838679388769, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838728204251, 
