x (m), y (m), th (rad), stamp, 
0.48822247982025146, 0.08859124034643173, 0.17873888184017842, 1759503125161636293, 
0.48822247982025146, 0.08859124034643173, 0.17873888184017842, 1759503125207897181, 
0.48822247982025146, 0.08859124034643173, 0.17873888184017842, 1759503125257043010, 
0.48822247982025146, 0.08859124034643173, 0.17873888184017842, 1759503125304218105, 
0.48822247982025146, 0.08859124034643173, 0.17873888184017842, 1759503125353024822, 
0.48822247982025146, 0.08859124034643173, 0.17873888184017842, 1759503125400096978, 
0.488431841135025, 0.08856131136417389, 0.18151382990358284, 1759503125448121574, 
0.4895382225513458, 0.08869194984436035, 0.20347964264640458, 1759503125496896257, 
0.49082207679748535, 0.08903589844703674, 0.2312538846206834, 1759503125544143224, 
0.49262547492980957, 0.08899286389350891, 0.2653215500674592, 1759503125608514102, 
0.49388206005096436, 0.08924375474452972, 0.290460945023236, 1759503125657464055, 
0.49511420726776123, 0.08949627727270126, 0.31495275830516856, 1759503125705113807, 
0.49636995792388916, 0.08961274474859238, 0.33790519463179014, 1759503125753212484, 
0.4976409673690796, 0.08993656933307648, 0.36188231351432026, 1759503125800171063, 
0.5112037062644958, 0.09672818332910538, 0.5795662207679008, 1759503126121706169, 
0.5148093700408936, 0.09799744933843613, 0.6247004409808685, 1759503126206072119, 
0.5150467157363892, 0.09787260740995407, 0.6262892663713984, 1759503126249207632, 
0.5150797963142395, 0.09793118387460709, 0.6256359346914496, 1759503126296594511, 
0.5154391527175903, 0.09823030233383179, 0.6290019092282882, 1759503126361633774, 
0.5168541073799133, 0.09961715340614319, 0.6492900463508241, 1759503126408845196, 
0.518880307674408, 0.1012878492474556, 0.684694616974417, 1759503126456779775, 
0.5212536454200745, 0.10314861685037613, 0.7286972914037939, 1759503126505075049, 
0.5236501097679138, 0.10511207580566406, 0.7681529372068814, 1759503126553323043, 
0.5258364677429199, 0.10679171979427338, 0.8050277542257948, 1759503126601075781, 
0.528533399105072, 0.10944540053606033, 0.8455297725894849, 1759503126664972783, 
0.5304417014122009, 0.11122974008321762, 0.8654059298616373, 1759503126713631026, 
0.5317988395690918, 0.11289820820093155, 0.8844344208280039, 1759503126759962690, 
0.5334840416908264, 0.11487012356519699, 0.9077673255925245, 1759503126809444803, 
0.5352320671081543, 0.11693113297224045, 0.9302868146652974, 1759503126856829278, 
0.5370170474052429, 0.11921007931232452, 0.9533497229285521, 1759503126905087112, 
0.538747251033783, 0.12138190865516663, 0.976811985013253, 1759503126953272103, 
0.5401474833488464, 0.12353836745023727, 0.999908843109377, 1759503127000278446, 
0.5417823791503906, 0.12572892010211945, 1.0237458018563463, 1759503127049052117, 
0.5431761145591736, 0.12803344428539276, 1.0466639988904896, 1759503127096708400, 
0.5448972582817078, 0.1305103302001953, 1.0733673585706756, 1759503127161353802, 
0.5453909635543823, 0.1312522292137146, 1.079891446602975, 1759503127210279707, 
0.5454728007316589, 0.13117606937885284, 1.079891446602975, 1759503127256048885, 
0.5454148650169373, 0.13112898170948029, 1.079891446602975, 1759503127305271432, 
0.5454280972480774, 0.13113310933113098, 1.079891446602975, 1759503127353116766, 
0.5454322099685669, 0.13111987709999084, 1.079891446602975, 1759503127401136428, 
0.5454322099685669, 0.13111987709999084, 1.079891446602975, 1759503127450072713, 
0.5454322099685669, 0.13111987709999084, 1.079891446602975, 1759503127496159194, 
0.5454322099685669, 0.13111987709999084, 1.079891446602975, 1759503127561571050, 
0.5454322099685669, 0.13111987709999084, 1.079891446602975, 1759503127593123735, 
0.5457509160041809, 0.13146044313907623, 1.08407931713302, 1759503127656505369, 
0.546684205532074, 0.13357701897621155, 1.1007354423225597, 1759503127705488446, 
0.5485245585441589, 0.1372346729040146, 1.1259119834875602, 1759503127753011437, 
0.5506471395492554, 0.14188845455646515, 1.1571454365666773, 1759503127801068589, 
0.5529394149780273, 0.14669401943683624, 1.1912787555263549, 1759503127849515851, 
0.5548153519630432, 0.15100108087062836, 1.2197500836247428, 1759503127897201943, 
0.5567556023597717, 0.1561083048582077, 1.250426935442854, 1759503127961512060, 
0.5580666065216064, 0.16013306379318237, 1.2749480843167003, 1759503128009573101, 
0.5594997406005859, 0.1645110845565796, 1.3017025941084799, 1759503128057111773, 
0.5607123970985413, 0.16876447200775146, 1.3287376956356882, 1759503128105260373, 
0.5617610216140747, 0.17289458215236664, 1.3565249793937164, 1759503128153502834, 
0.562891960144043, 0.17742329835891724, 1.3839637763956143, 1759503128202284200, 
0.5638136863708496, 0.18169346451759338, 1.4076219703228539, 1759503128249690652, 
