e (m), e_dot (m/s), stamp, 
1.4142135623730951,0.0,1761310821427287653, 
1.4142135623730951,0.0,1761310821475129126, 
1.4142135623730951,0.0,1761310821523251801, 
1.4142135623730951,0.0,1761310821571173469, 
1.4142135623730951,0.0,1761310821619145539, 
1.414917227216126,0.0047790461143041,1761310821668225406, 
1.4164399987164913,0.0154985012170936,1761310821715577673, 
1.4237204230789624,0.0322763913602464,1761310821828154344, 
1.4324024533785888,0.0520306612945376,1761310821923121733, 
1.4429214815161526,0.0669763692944102,1761310822019178958, 
1.453387637178354,0.0727842011408876,1761310822115335762, 
1.4629264995632112,0.0644653340025756,1761310822228153174, 
1.467622401159603,0.0446584274541357,1761310822323165845, 
1.4691681362474982,0.021840191764588,1761310822419194370, 
1.4675249509458383,-0.0003254183012889,1761310822515439724, 
1.462155552550347,-0.0217114459910966,1761310822627159146, 
1.45401506485646,-0.0442705495350805,1761310822723211883, 
1.442929987967545,-0.0667369071996983,1761310822819219382, 
1.4257323217978313,-0.0895306322507088,1761310822931526003, 
1.4079690935691955,-0.1129576902326801,1761310823027160035, 
1.388061685515391,-0.1310344258798423,1761310823123163397, 
1.3662440882818458,-0.1448262862865888,1761310823219226526, 
1.3378855695997238,-0.1599281581238419,1761310823331463176, 
1.3123075492503613,-0.1733144407884369,1761310823427162032, 
1.2855686150275678,-0.1819390164304733,1761310823523158465, 
1.257883542347112,-0.1889152400755341,1761310823619218878, 
1.2299069532354168,-0.1936265635219071,1761310823714808184, 
1.1965203077027171,-0.1966089802057906,1761310823827163609, 
1.1672539469467602,-0.2006867623816276,1761310823923147770, 
1.1380679290001752,-0.2028904553637557,1761310824019229271, 
1.108730521608504,-0.2029774541958241,1761310824115364152, 
1.074246404426125,-0.2043838993641757,1761310824227331944, 
1.04481534520873,-0.2050195144924576,1761310824323174837, 
1.0144548150726789,-0.2071614744571337,1761310824419738844, 
0.9799512337220496,-0.2077420807588299,1761310824531466766, 
0.9499820364105092,-0.2073336670372165,1761310824627159019, 
0.91975921897188,-0.2082745127002994,1761310824724138790, 
0.8900141689174401,-0.208119510297752,1761310824819256565, 
0.8600347147075871,-0.2084361321370895,1761310824915163107, 
0.8253412187859441,-0.2074568252986624,1761310825027157024, 
0.7947513260318518,-0.2082063035192889,1761310825124317538, 
0.7654451111902519,-0.2078489512095737,1761310825219249328, 
0.7306961423885531,-0.2066512419769079,1761310825330894179, 
0.7010207088369282,-0.2064250315912343,1761310825427233764, 
0.6711894329999549,-0.206286243188572,1761310825523206962, 
0.6415687762344123,-0.2065056155337823,1761310825619163702, 
0.6115120757365002,-0.2069296340592052,1761310825715468015, 
0.576509700701487,-0.2080593240504895,1761310825827627549, 
0.5469178929286935,-0.2058579019537056,1761310825924492020, 
0.5195773942820321,-0.1977774039074601,1761310826019478665, 
0.4935845773001659,-0.1867747467711555,1761310826114868981, 
0.4632728469041691,-0.1807134750973507,1761310826227279796, 
0.4389325456423675,-0.1744350198136233,1761310826323238587, 
0.4161476213401524,-0.1635511793948645,1761310826419377569, 
0.3938654387860562,-0.1568065527773464,1761310826514837259, 
0.3702761635031631,-0.1476609981309409,1761310826627401282, 
0.3508416884267393,-0.1374215010817337,1761310826723278681, 
0.3323651578124859,-0.1317851178285368,1761310826819183916, 
0.311801454345668,-0.1252589602467038,1761310826931478499, 
0.295179568255181,-0.1189511313290584,1761310827027154741, 
0.2875715030713472,-0.1106873996642436,1761310827075206190, 
0.2650154496609676,-0.1046327502100217,1761310827220199095, 
0.2510660070604044,-0.1007514430761128,1761310827315295275, 
0.2355628224709507,-0.0950839682602212,1761310827427179782, 
0.2233394864248536,-0.0885704480261083,1761310827523315121, 
0.2110714977388337,-0.0846101744202487,1761310827620154904, 
0.1997152611878692,-0.0820382720566038,1761310827715240709, 
0.1869989074452387,-0.0773382650265347,1761310827828191296, 
0.1771861775759141,-0.0719703217660945,1761310827923158439, 
0.1726192474763773,-0.0661382187707444,1761310827971187390, 
0.1578149520334348,-0.062496375892844,1761310828131403393, 
0.1494821979788852,-0.0597575798784535,1761310828227324803, 
0.1415444126971448,-0.0564512747018252,1761310828323559995, 
0.1341490351106087,-0.0532784580620601,1761310828419166568, 
0.1260746610117228,-0.0498896782057182,1761310828530819308, 
0.1188135843518533,-0.0485774980502301,1761310828629722974, 
0.1123401675653193,-0.0475695234117426,1761310828723144012, 
0.1066287956343285,-0.0428982593125879,1761310828819292052, 
0.1007321490311018,-0.0402248215301374,1761310828915528309, 
