e (m), e_dot (m/s), e_int, stamp, 
1.4142135623730951, 0.0, 0.13586641021712173, 1761311481123289879, 
1.4152199996444328, 0.005208974740097602, 0.1590661387310081, 1761311481187693933, 
1.416285052072707, 0.01660175457925295, 0.13524832032329306, 1761311481218855553, 
1.4194757264250362, 0.028022299384457956, 0.13478110627199272, 1761311481282811587, 
1.4229569811023794, 0.04059693597400823, 0.15952095738910882, 1761311481331228079, 
1.426833588387883, 0.05089059163020385, 0.13720341323772278, 1761311481379223994, 
1.431560570191392, 0.05973890729416959, 0.1370193885805459, 1761311481427239397, 
1.4367265898157275, 0.06870405508845971, 0.13744066551538944, 1761311481475221760, 
1.441993702915833, 0.0724191989831215, 0.1379910513476797, 1761311481523282594, 
1.4491382052352468, 0.07348724928041109, 0.16229714901214312, 1761311481587723462, 
1.4522365676432099, 0.07003509440837109, 0.13849985431526754, 1761311481618945572, 
1.4581229731266265, 0.06341271825885136, 0.13936801181093547, 1761311481683629931, 
1.4646651839797478, 0.05315109630664628, 0.2337124193298693, 1761311481779204611, 
1.468434549112532, 0.03589983560201474, 0.2804730179387473, 1761311481875243773, 
1.4692068639360363, 0.01538688473203223, 0.304885166904293, 1761311481986971944, 
1.4670256715629184, -0.005214204402338489, 0.30602659932633297, 1761311482083677187, 
1.4615236236346207, -0.02671679233124701, 0.28180040426234093, 1761311482179206616, 
1.4536347908149865, -0.04658415746098158, 0.2798034501084153, 1761311482275227869, 
1.443207652037888, -0.0636773236801067, 0.2786347983334541, 1761311482370999683, 
1.4281588969718149, -0.0809626202408293, 0.2999605054068863, 1761311482483292895, 
1.4130030040475885, -0.09733415690658402, 0.2973680995279088, 1761311482579222687, 
1.395631181414528, -0.11297824036758397, 0.2710639910453022, 1761311482675228625, 
1.376149095642796, -0.12816720963351877, 0.26742788927455136, 1761311482770937195, 
1.352031900495853, -0.1391743595697681, 0.2864994592244439, 1761311482883651885, 
1.33012849835719, -0.14692802389026693, 0.28311194373592746, 1761311482980220354, 
1.306962483958416, -0.15685500590857596, 0.2547845192621125, 1761311483075261314, 
1.279258871497738, -0.1637013105948015, 0.2702800981266313, 1761311483187260155, 
1.2547690708017356, -0.16785062488801292, 0.2657825511705738, 1761311483282850390, 
1.2287058812023413, -0.1746214376845665, 0.24202069387627445, 1761311483380221474, 
1.2026580200808268, -0.18060821794744442, 0.2363821063521236, 1761311483475232576, 
1.1718933496401247, -0.1831752627880894, 0.24830332775606734, 1761311483586953864, 
1.1455161785592105, -0.1833188291270964, 0.2438029936536642, 1761311483683015231, 
1.118036585783283, -0.18575163869931247, 0.22133017902131208, 1761311483780230229, 
1.090811105030498, -0.18973949374426194, 0.21493219996689447, 1761311483875241425, 
1.0627697971414294, -0.19278384730943599, 0.20841126321568046, 1761311483971338692, 
1.030175342462506, -0.1942556173669664, 0.2208666848152017, 1761311484083360390, 
1.001624589821625, -0.19625817855682695, 0.21444444289550252, 1761311484179229735, 
0.9728851804954501, -0.19902981181964688, 0.19219738845710913, 1761311484275258091, 
0.9390810487461378, -0.19970994033354464, 0.2027523166214895, 1761311484387995134, 
