e (m), e_dot (m/s), stamp, 
1.4142135623730951,0.0,1761311481123289879, 
1.4152199996444328,0.0052089747400976,1761311481187693933, 
1.416285052072707,0.0166017545792529,1761311481218855553, 
1.4194757264250362,0.0280222993844579,1761311481282811587, 
1.4229569811023794,0.0405969359740082,1761311481331228079, 
1.426833588387883,0.0508905916302038,1761311481379223994, 
1.431560570191392,0.0597389072941695,1761311481427239397, 
1.4367265898157275,0.0687040550884597,1761311481475221760, 
1.441993702915833,0.0724191989831215,1761311481523282594, 
1.4491382052352468,0.073487249280411,1761311481587723462, 
1.45223656764321,0.070035094408371,1761311481618945572, 
1.4581229731266263,0.0634127182588513,1761311481683629931, 
1.4646651839797478,0.0531510963066462,1761311481779204611, 
1.468434549112532,0.0358998356020147,1761311481875243773, 
1.4692068639360365,0.0153868847320322,1761311481986971944, 
1.4670256715629184,-0.0052142044023384,1761311482083677187, 
1.4615236236346207,-0.026716792331247,1761311482179206616, 
1.4536347908149865,-0.0465841574609815,1761311482275227869, 
1.443207652037888,-0.0636773236801067,1761311482370999683, 
1.4281588969718149,-0.0809626202408293,1761311482483292895, 
1.4130030040475885,-0.097334156906584,1761311482579222687, 
1.395631181414528,-0.1129782403675839,1761311482675228625, 
1.376149095642796,-0.1281672096335187,1761311482770937195, 
1.352031900495853,-0.1391743595697681,1761311482883651885, 
1.33012849835719,-0.1469280238902669,1761311482980220354, 
1.306962483958416,-0.1568550059085759,1761311483075261314, 
1.279258871497738,-0.1637013105948015,1761311483187260155, 
1.2547690708017356,-0.1678506248880129,1761311483282850390, 
1.2287058812023413,-0.1746214376845665,1761311483380221474, 
1.2026580200808268,-0.1806082179474444,1761311483475232576, 
1.1718933496401247,-0.1831752627880894,1761311483586953864, 
1.1455161785592105,-0.1833188291270964,1761311483683015231, 
1.118036585783283,-0.1857516386993124,1761311483780230229, 
1.090811105030498,-0.1897394937442619,1761311483875241425, 
1.0627697971414294,-0.1927838473094359,1761311483971338692, 
1.030175342462506,-0.1942556173669664,1761311484083360390, 
1.001624589821625,-0.1962581785568269,1761311484179229735, 
0.97288518049545,-0.1990298118196468,1761311484275258091, 
0.9390810487461378,-0.1997099403335446,1761311484387995134, 
0.9107035675994316,-0.199094571538292,1761311484483402682, 
0.8814470362429253,-0.2009068560562417,1761311484579235801, 
0.8525714692914813,-0.2019410171971689,1761311484675315764, 
0.8237120183823706,-0.2005488236650908,1761311484771159425, 
0.7894693117656907,-0.2022198099668707,1761311484883228582, 
0.7602612521452502,-0.2030854695542866,1761311484979400536, 
0.7306633822800378,-0.2045660489386582,1761311485074880147, 
0.697172449618239,-0.2023589816112047,1761311485187611806, 
0.6703689012474737,-0.1920224544948756,1761311485283688091, 
0.6577731966385141,-0.1809191452856332,1761311485331439701, 
0.6213808022452151,-0.1722488483726604,1761311485475299619, 
0.5978416566842044,-0.1665067772458665,1761311485570774022, 
0.5869985335351194,-0.156413512566599,1761311485619465306, 
0.5618207683904063,-0.149411769764841,1761311485731096558, 
0.5325993521937502,-0.1421212119812152,1761311485876607349, 
0.5104636452865858,-0.1338649988248886,1761311485986858432, 
0.5041811975057534,-0.1317920466464506,1761311486019142216, 
0.4824612570460791,-0.1294167259576421,1761311486131303341, 
0.4562263609366369,-0.1247558066175013,1761311486276554096, 
0.4402582423404747,-0.1163882699436439,1761311486371294041, 
0.4318836041812196,-0.11492151163938,1761311486418818430, 
0.4131738220407427,-0.1142069884601197,1761311486531254813, 
0.3893047218837697,-0.1107094704438432,1761311486675283054, 
0.3820698534012146,-0.1053555656270771,1761311486723405932, 
0.3683848699181397,-0.0978529369945078,1761311486818959947, 
0.3450825447284075,-0.096109115371192,1761311486979543712, 
0.33807979374465,-0.0969957049710576,1761311487027548195, 
0.3260705497722914,-0.0899385703345164,1761311487124444846, 
0.3072482678998773,-0.0805631604624042,1761311487284293299, 
0.2956023889368281,-0.080095406992854,1761311487379334211, 
0.2901613548637198,-0.0786666170334866,1761311487427287869, 
0.2788634728820142,-0.0766396937340433,1761311487524303154, 
0.2619995456014158,-0.0738701088911935,1761311487684674228, 
0.2571766533828906,-0.0696093313751819,1761311487731194764, 
0.2427492847827403,-0.067931454266084,1761311487875292599, 
0.2318943931459673,-0.0658352076735784,1761311487986757908, 
0.2273336151193397,-0.0636228945096293,1761311488035544059, 
0.2148773952981058,-0.0600423283832625,1761311488179310775, 
0.2073265209590356,-0.0550990790134,1761311488275310278, 
0.2036943134484097,-0.0514180475893928,1761311488323356117, 
0.19842623970176,-0.0528093482227113,1761311488386957728, 
0.1957653785852208,-0.054968740341834,1761311488419376823, 
0.1906609625299907,-0.054071626873227,1761311488483072221, 
0.183886523838354,-0.0501828218572146,1761311488579285617, 
0.1772862938513824,-0.0463837819337168,1761311488675301825, 
0.1577199863528481,-0.044368725140276,1761311488979289867, 
0.1519701814415066,-0.0414015807183424,1761311489075377212, 
0.145697155116358,-0.0385580524013246,1761311489187726970, 
0.1415232052431325,-0.0361067471182144,1761311489267252831, 
0.1357305005769909,-0.0347292840701705,1761311489379292183, 
0.1304770061629791,-0.0354660460278999,1761311489475341632, 
0.1245061837459834,-0.0360476636179111,1761311489587055908, 
0.118879168041388,-0.0372774712963122,1761311489683433424, 
0.1140579927987675,-0.0362252577421489,1761311489779299709, 
0.1100126943956118,-0.0307857347118548,1761311489875463893, 
0.1053927259299186,-0.0278243807855191,1761311489987039650, 
0.1018495132286242,-0.02606779245347,1761311490083330936, 
