x (m), y (m), theta (rad), stamp, 
3.549017037585145e-06, -4.0979871300805826e-06, -5.8655582039698725e-05, 1761312167384558652, 
3.549017037585145e-06, -4.0979871300805826e-06, -5.8655582039698725e-05, 1761312167432583400, 
3.549017037585145e-06, -4.0979871300805826e-06, -5.8655582039698725e-05, 1761312167497316649, 
3.549017037585145e-06, -4.0979871300805826e-06, -5.8655582039698725e-05, 1761312167527771014, 
0.0014162970473989844, -3.057676076423377e-05, 0.001099828039355146, 1761312167577682468, 
0.007253177929669619, 1.4803813428443391e-05, 0.005039041490024016, 1761312167640730751, 
0.014150930568575859, -4.70831582788378e-06, 0.009486290158838966, 1761312167688567792, 
0.022799279540777206, 0.00015247767441906035, 0.015369778317910927, 1761312167737487433, 
0.03300076350569725, 0.00039598174043931067, 0.023585715073950995, 1761312167784496087, 
0.04522702842950821, 0.0009780054679140449, 0.034207079553032406, 1761312167832527127, 
0.059589799493551254, 0.001851370558142662, 0.045704379148550155, 1761312167880231051, 
0.07543213665485382, 0.0029174312949180603, 0.056875544974565054, 1761312167927829985, 
0.0963791087269783, 0.00474428478628397, 0.07286581617632089, 1761312167992531645, 
0.12656384706497192, 0.008096794597804546, 0.09860429860878148, 1761312168088565320, 
0.15550054609775543, 0.011989342980086803, 0.12597462059336528, 1761312168184490504, 
0.18486018478870392, 0.01665688492357731, 0.15061350213357008, 1761312168280619294, 
0.2194070667028427, 0.02318892441689968, 0.18207825814868067, 1761312168391948853, 
0.24823959171772003, 0.029428014531731606, 0.24203422701986732, 1761312168488584486, 
0.2776355445384979, 0.03782534971833229, 0.3089786788473536, 1761312168586737341, 
0.3050061762332916, 0.04752926155924797, 0.34138056464544936, 1761312168680389239, 
0.33713141083717346, 0.060157764703035355, 0.37995649546808286, 1761312168792091786, 
0.3648645281791687, 0.07218033075332642, 0.430469008746888, 1761312168887974410, 
0.39179104566574097, 0.08549140393733978, 0.48300907452709824, 1761312168984914362, 
0.4167989492416382, 0.09987641870975494, 0.52239379835132, 1761312169079964487, 
0.44644248485565186, 0.11856307089328766, 0.5627536636194206, 1761312169192486253, 
0.4710702896118164, 0.13522997498512268, 0.5986376262843258, 1761312169288148397, 
0.4953049421310425, 0.15325093269348145, 0.633851278409054, 1761312169385149041, 
0.5220892429351807, 0.1745220571756363, 0.6745710959625884, 1761312169496379127, 
0.5410794615745544, 0.19072088599205017, 0.7035933027661748, 1761312169576436123, 
0.5671623945236206, 0.21448330581188202, 0.7377635699208421, 1761312169688586630, 
0.5886697173118591, 0.2355615198612213, 0.7630505616114219, 1761312169784574112, 
0.6094576716423035, 0.2569510042667389, 0.7911812904294496, 1761312169880713286, 
0.633251965045929, 0.2827298045158386, 0.8236145043335508, 1761312169993943076, 
0.6529197096824646, 0.3054841458797455, 0.8515453524682144, 1761312170088555517, 
0.6722277402877808, 0.32880350947380066, 0.8727413832510724, 1761312170185718262, 
0.6903819441795349, 0.35193493962287903, 0.8931928168491609, 1761312170280592412, 
0.71149742603302, 0.3801499605178833, 0.9193610023701427, 1761312170393619719, 
0.7285887002944946, 0.4041840434074402, 0.9402116719369193, 1761312170488582317, 
0.74601149559021, 0.4291740357875824, 0.9563144946773317, 1761312170585572406, 
0.762657642364502, 0.4539111256599426, 0.969730583817748, 1761312170680554923, 
0.7819264531135559, 0.4832679033279419, 0.987623857760427, 1761312170793592602, 
0.7975991368293762, 0.5082031488418579, 1.0043406899871206, 1761312170888590344, 
0.8055644631385803, 0.5209642648696899, 1.0117122725834002, 1761312170936538449, 
0.8286503553390503, 0.5601832866668701, 1.0291813842614113, 1761312171080638164, 
0.8462777137756348, 0.5909446477890015, 1.0434742231358802, 1761312171193417696, 
0.8603582382202148, 0.6161558032035828, 1.053144122567129, 1761312171288565557, 
0.8747069239616394, 0.6422257423400879, 1.064891002106672, 1761312171384558720, 
0.8892256021499634, 0.6693967580795288, 1.075778957511617, 1761312171482064816, 
0.9049508571624756, 0.6998142600059509, 1.0884011293941949, 1761312171593077997, 
0.9180046916007996, 0.725838303565979, 1.1017356810903438, 1761312171688597478, 
0.9310805201530457, 0.7525411248207092, 1.1088885985634431, 1761312171784543712, 
0.9445275664329529, 0.7799550890922546, 1.1165474500419428, 1761312171881682163, 
0.9591431617736816, 0.8115026354789734, 1.1264525563301389, 1761312171993400996, 
0.9712908864021301, 0.8380087614059448, 1.1351541186281588, 1761312172088564880, 
0.9831343293190002, 0.8641864061355591, 1.141019901743904, 1761312172184599322, 
0.9972224235534668, 0.8955557942390442, 1.1439841335403385, 1761312172297391873, 
1.006594181060791, 0.916374146938324, 1.1457481499741604, 1761312172376238009, 
1.0191296339035034, 0.9448938369750977, 1.1497417949626254, 1761312172488610893, 
1.0294959545135498, 0.9685097932815552, 1.1549227841161283, 1761312172585563741, 
1.0411555767059326, 0.9955575466156006, 1.160473629087763, 1761312172696361673, 
