x, y, theta, stamp, 
5.696834935880382e-05, -9.878873789465168e-07, 6.82502725186869e-07, 4860000000, 
5.80782091523656e-05, -9.872621453442813e-07, 6.93909961788319e-07, 4894000000, 
5.9065206981850046e-05, -9.866376319092257e-07, 7.04452777671241e-07, 4928000000, 
5.9806635844041755e-05, -9.86103502511142e-07, 7.121739884033618e-07, 4962000000, 
0.0035252028979095656, -9.978942799750994e-07, 2.088614927572839e-06, 5030000000, 
0.014038370926812493, -0.00015504408514424115, -0.041044285379868636, 5132000000, 
0.029808517523432585, -0.0015816200030580251, -0.14716592521199692, 5234000000, 
0.05034550257441314, -0.00639038616883092, -0.31851630965814026, 5336000000, 
0.07116891449750248, -0.015585390543480439, -0.5114836286721056, 5438000000, 
0.08391268132642511, -0.02385381321729729, -0.6405429278847626, 5506000000, 
0.10082373656261633, -0.03908512058780578, -0.8276706595931848, 5608000000, 
0.11468075221052816, -0.057122478885616605, -1.0055047011226583, 5710000000, 
0.12526029833382907, -0.07724960307304679, -1.1739544753755125, 5812000000, 
0.13237631948114864, -0.09881729367208227, -1.3252185489369088, 5914000000, 
0.13631147597287402, -0.12116492225478137, -1.465355448424369, 6016000000, 
0.1372933588146251, -0.14353775809418734, -1.593173204417639, 6118000000, 
0.13553040191202545, -0.16554577261849202, -1.7089228529132259, 6220000000, 
0.13134566142669812, -0.18743114391086751, -1.8106177406059742, 6322000000, 
0.1273646917278725, -0.20176039841690072, -1.8725947195101378, 6390000000, 
0.11985830282534492, -0.22277614259540482, -1.9560302439520847, 6492000000, 
0.11072221418860481, -0.24307440844416484, -2.031171133175809, 6594000000, 
0.10017779606194491, -0.2626893772143047, -2.097379962209097, 6696000000, 
0.08834149808850059, -0.28177339702958026, -2.1525312901090317, 6798000000, 
0.07548091058885639, -0.3002738918050896, -2.2019300403149558, 6900000000, 
0.0617824562096841, -0.31815338528130405, -2.245737694541162, 7002000000, 
0.04736661652264282, -0.3354512470073411, -2.284443634430755, 7104000000, 
0.03233576414844074, -0.3522076005107827, -2.318885495434939, 7206000000, 
0.022016774128147374, -0.3630959308958602, -2.3402054890192487, 7274000000, 
0.006142543443413627, -0.37902965173574493, -2.3687727919364443, 7376000000, 
-0.010152128388623243, -0.3945222232385202, -2.3943930888990885, 7478000000, 
-0.026817077786811343, -0.40961260965661095, -2.417402781290944, 7580000000, 
-0.04380735759802808, -0.4243351425061732, -2.4382135288831264, 7682000000, 
-0.06108482609606065, -0.43871523240548665, -2.4565492059256155, 7784000000, 
-0.0786089428906217, -0.45278511471601823, -2.4733664809933646, 7886000000, 
-0.096349973415718, -0.4665700889160625, -2.4885838305363253, 7988000000, 
-0.1142847203818946, -0.4800957414264714, -2.502288738669964, 8090000000, 
-0.13239348324321193, -0.49338651575766973, -2.514659332277291, 8192000000, 
-0.14455335465722996, -0.5021274535741703, -2.5223814432073492, 8260000000, 
-0.16905887443380468, -0.5193442294009645, -2.535966996558156, 8396000000, 
-0.18139399376775273, -0.5278306252445489, -2.5423062203472058, 8464000000, 
-0.1999886968380653, -0.5404196190392002, -2.55089451881979, 8566000000, 
-0.21868322581148897, -0.5528554056714707, -2.558473092504626, 8668000000, 
-0.23747102638714868, -0.565150403198526, -2.565844720720158, 8770000000, 
-0.25634122821592914, -0.5773181107125112, -2.5721006746435986, 8872000000, 
-0.2752855658517444, -0.5893692843370284, -2.5779206392947054, 8974000000, 
-0.29429513064144397, -0.6013133307261235, -2.5832749386987763, 9076000000, 
-0.313363864372216, -0.6131588212807236, -2.5881470297811573, 9178000000, 
-0.33248641295976755, -0.624915035507891, -2.5925835821565104, 9280000000, 
-0.34526330905807723, -0.6327069513737303, -2.5953706386553312, 9348000000, 
-0.3644671637650144, -0.6443313962654059, -2.5991872812078305, 9450000000, 
-0.38371353281132947, -0.6558850360918316, -2.6026813735911305, 9552000000, 
-0.4029974485877325, -0.6673731546558385, -2.6058848668933634, 9654000000, 
-0.4223151090763724, -0.6788013167425755, -2.608755422006501, 9756000000, 
-0.4416646504863699, -0.6901744291430177, -2.611456277149136, 9858000000, 
-0.46104389941395085, -0.7014973735492156, -2.6139557807437748, 9960000000, 
-0.4804505170286643, -0.7127739326750736, -2.616257008989541, 10062000000, 
-0.49988177588611077, -0.7240072893728133, -2.6183840408072308, 10164000000, 
-0.5193351936322882, -0.7352003737544384, -2.6203544523433338, 10266000000, 
-0.5388092154297995, -0.7463561012454691, -2.6221828927947755, 10368000000, 
-0.5518027899517777, -0.7537740255664335, -2.6233460572816796, 10436000000, 
-0.5713087724083575, -0.7648739348453674, -2.62496499052233, 10538000000, 
-0.5908322481411421, -0.7759434801197304, -2.6264754839469777, 10640000000, 
-0.6103716421547009, -0.7869844113586062, -2.6278884646209786, 10742000000, 
-0.6299254035174249, -0.7979985425150237, -2.629189410682666, 10844000000, 
-0.6494929287184299, -0.8089874556586089, -2.630433812425245, 10946000000, 
-0.6690736296426711, -0.8199528280833328, -2.631612012086761, 11048000000, 
-0.6886670036513772, -0.8308960865519378, -2.6327257549926912, 11150000000, 
-0.7017358675106096, -0.8381798382815658, -2.6334430816446592, 11218000000, 
-0.7213484765020848, -0.8490883779387193, -2.6344679766990677, 11320000000, 
-0.7409716355033804, -0.8599771679842481, -2.6354488589762357, 11422000000, 
-0.7606049848678899, -0.8708470641493598, -2.6363917194854753, 11524000000, 
-0.7802483942555737, -0.8816988671108837, -2.637304281283266, 11626000000, 
-0.7999016693790647, -0.8925331264313866, -2.6381871632897034, 11728000000, 
-0.8190684934582554, -0.9026987411146512, -2.7039178812328593, 11830000000, 
-0.8375406785875572, -0.9110178230435075, -2.713573313665526, 11932000000, 
-0.8488748301765956, -0.9161165434044016, -2.72128637939132, 12000000000, 
-0.8646378656619442, -0.9232054425255933, -2.7209141296595627, 12102000000, 
-0.8789615171670997, -0.9296259748872234, -2.7198345074283603, 12204000000, 
-0.8918769820132003, -0.9354665327020729, -2.714361853128594, 12306000000, 
-0.903349108746039, -0.9407331190494889, -2.707417488216562, 12408000000, 
-0.9140403434143826, -0.9457316853686689, -2.700763695584745, 12510000000, 
-0.923651664417725, -0.9503120858540776, -2.69307197662425, 12612000000, 
