x, y, theta, stamp, 
4.1512066673021764e-08, -4.7923251145221e-08, 4.77533675673997e-07, 1761310631021834265, 
4.1512066673021764e-08, -4.7923251145221e-08, 4.775376455816757e-07, 1761310631071184027, 
2.075624294661793e-08, -2.3961604256328428e-08, 2.3913949706738564e-07, 1761310631132521854, 
-2.573677647887962e-06, 2.9712828109040856e-06, -2.956134661925883e-05, 1761310631181767679, 
0.001191202667541802, -6.569668039446697e-05, -0.009312088879505086, 1761310631230794344, 
0.004197044763714075, -0.00023176198010332882, -0.031739283852628274, 1761310631280843022, 
0.008661054074764252, -0.0004418768221512437, -0.06006239548872696, 1761310631330980313, 
0.013122042641043663, -0.0008729691617190838, -0.08790349581415367, 1761310631371731931, 
0.01978800818324089, -0.0017203905154019594, -0.13269820143502464, 1761310631421980292, 
0.036277491599321365, -0.005124602932482958, -0.246115291827031, 1761310631519824620, 
0.05936403200030327, -0.012900704517960548, -0.4087402213667307, 1761310631633804567, 
0.10584200918674469, -0.04651724174618721, -0.7807777218243139, 1761310631872067946, 
0.11575599014759064, -0.05763037130236626, -0.8702635421057248, 1761310631930997631, 
0.12297551333904266, -0.0673464983701706, -0.942504158199199, 1761310631980954764, 
0.12955963611602783, -0.07739343494176865, -1.0175367717732038, 1761310632031895575, 
0.1357450783252716, -0.08757896721363068, -1.0834369387987175, 1761310632078805844, 
0.14110690355300903, -0.09905177354812622, -1.1533974357019101, 1761310632129445678, 
0.14568641781806946, -0.10971564054489136, -1.2054180921420667, 1761310632171300172, 
0.15044346451759338, -0.12290627509355545, -1.2660904888227875, 1761310632222529605, 
0.15759746730327606, -0.14976473152637482, -1.3816828720940433, 1761310632319006321, 
0.16150186955928802, -0.18050000071525574, -1.5175514615735506, 1761310632432659883, 
0.16145369410514832, -0.20813268423080444, -1.6334328818583976, 1761310632528877666, 
0.15870630741119385, -0.23390696942806244, -1.729981149079337, 1761310632621159290, 
0.15298855304718018, -0.261383593082428, -1.831041553237998, 1761310632719092090, 
0.14295408129692078, -0.29258665442466736, -1.9500305359688683, 1761310632830986717, 
0.13169142603874207, -0.31826943159103394, -2.0436340259470938, 1761310632928351937, 
0.11883841454982758, -0.3411482274532318, -2.125882488166825, 1761310633021234887, 
0.10286244750022888, -0.3648954927921295, -2.2078668891809063, 1761310633122244806, 
0.08389908820390701, -0.3884170353412628, -2.284582590091547, 1761310633230788281, 
0.06622736901044846, -0.40690821409225464, -2.3416835472555273, 1761310633327946432, 
0.04818293824791908, -0.423954039812088, -2.392946940360376, 1761310633420797397, 
0.028079131618142128, -0.441218763589859, -2.4462294944698373, 1761310633522472457, 
0.005761574022471905, -0.4582117795944214, -2.494885354595343, 1761310633630806075, 
-0.013802764937281609, -0.47186151146888733, -2.529788667859682, 1761310633727118784, 
-0.03380646929144859, -0.4848144054412842, -2.5588701311807363, 1761310633821070230, 
-0.05677952989935875, -0.49887555837631226, -2.5853687157796954, 1761310633932297510, 
-0.07755520939826965, -0.5109851360321045, -2.6068053650672875, 1761310634030951691, 
-0.09807171672582626, -0.5224708914756775, -2.624780148421581, 1761310634132770365, 
-0.11660686135292053, -0.5323021411895752, -2.6360428575380785, 1761310634220943963, 
-0.1366046518087387, -0.543169379234314, -2.6486682581294976, 1761310634321159518, 
-0.15835998952388763, -0.5545716881752014, -2.6596472686993544, 1761310634430826431, 
-0.17788571119308472, -0.5645278692245483, -2.665322332576008, 1761310634530788918, 
-0.1944006085395813, -0.5731269121170044, -2.667744210334992, 1761310634620924199, 
