e, e_dot, e_int, stamp, 
-2.3561944901926895, 9.21004339769279e-13, -0.3768688177996102, 1761310821427287653, 
-2.356194490192462, 9.101158867935647e-13, -0.3776382896590383, 1761310821475129126, 
-2.3561944901926895, 9.257272103070056e-15, -0.2261101967736285, 1761310821523251801, 
-2.356194490192462, 6.6061498793694014e-15, -0.22629915179076224, 1761310821571173469, 
-2.3561944901926895, 1.6616758674085698e-15, -0.22594429711957406, 1761310821619145539, 
-2.350041718737573, 0.04178747709920625, -0.22847419309270825, 1761310821668225406, 
-2.333585813694166, 0.1576277953929529, -0.2262883535406233, 1761310821715577673, 
-2.274489183566396, 0.2908221909508168, -0.37093473895654316, 1761310821828154344, 
-2.1957075275900686, 0.4515036583856335, -0.4706948828548503, 1761310821923121733, 
-2.0865028799710563, 0.655478696113864, -0.41749700283636415, 1761310822019178958, 
-1.9612445469510464, 0.8131724410251143, -0.40002654389559883, 1761310822115335762, 
-1.8111498670911255, 0.8776892734440604, -0.4081194895469786, 1761310822228153174, 
-1.6832138476096685, 0.8923121911760689, -0.37794650594486257, 1761310822323165845, 
-1.5568424154980485, 0.887497801972449, -0.32166282011857295, 1761310822419194370, 
-1.4312827053684585, 0.8735191673015082, -0.2993921545309243, 1761310822515439724, 
-1.2890932198853333, 0.8591056101109741, -0.2965035847125161, 1761310822627159146, 
-1.1734339925726431, 0.8256198433677392, -0.2696750977874703, 1761310822723211883, 
-1.0600278048886478, 0.795114775077021, -0.22551424931819222, 1761310822819219382, 
-0.9381100974887551, 0.7556003890928951, -0.22022773610441707, 1761310822931526003, 
-0.83899160908115, 0.7073381004449137, -0.19665152108608744, 1761310823027160035, 
-0.7451698335154842, 0.6712370851811856, -0.16112051496744348, 1761310823123163397, 
-0.6609504225152665, 0.6179949833364878, -0.1437369192781694, 1761310823219226526, 
-0.5657482531286724, 0.5749787079876724, -0.1369132582249891, 1761310823331463176, 
-0.4904345939280361, 0.545071034631818, -0.11901765842596101, 1761310823427162032, 
-0.42319495754218783, 0.4958082991731896, -0.09452991859759032, 1761310823523158465, 
-0.36107309170259017, 0.4490449022830692, -0.08160512307854471, 1761310823619218878, 
-0.3056787911021557, 0.4087329724267487, -0.06962933522580923, 1761310823714808184, 
-0.2511024193448872, 0.3550835530694945, -0.06362098865256605, 1761310823827163609, 
-0.2078816043919689, 0.3120128866149803, -0.05310317809105145, 1761310823923147770, 
-0.17095460544012964, 0.2782070235766702, -0.040329859944083425, 1761310824019229271, 
-0.1382155333301962, 0.24162782495415122, -0.033128605125816515, 1761310824115364152, 
-0.10796345928270767, 0.20357967384278663, -0.02893553891764796, 1761310824227331944, 
-0.08543462547198111, 0.16841517897151972, -0.02297095104318278, 1761310824323174837, 
-0.06553008576759778, 0.14706265795769669, -0.01660652220428818, 1761310824419738844, 
-0.04599764984386301, 0.12698312533412162, -0.013675223376821548, 1761310824531466766, 
-0.03056691824046931, 0.1120250518872331, -0.009824432656177254, 1761310824627159019, 
-0.017975571158188153, 0.09702949889924607, -0.006071746659032749, 1761310824724138790, 
-0.010037146980146794, 0.07109789038617557, -0.0037510014646468747, 1761310824819256565, 
-0.0032908071412918183, 0.05126724875319558, -0.001993244845410979, 1761310824915163107, 
0.0031873177945236364, 0.04272879879829208, -0.0007027476489725658, 1761310825027157024, 
0.007846131732693884, 0.035264402066637036, 0.0005398026542215909, 1761310825124317538, 
0.010656498382638269, 0.025851241972763134, 0.001388824022548061, 1761310825219249328, 
0.013275803043206746, 0.01768836855091458, 0.002188227326044662, 1761310825330894179, 
0.01773965637936037, 0.023265204680320034, 0.002889039547043813, 1761310825427233764, 
0.020254683222895142, 0.02418002782833517, 0.0032866346056519427, 1761310825523206962, 
0.018868797432417317, 0.0039208979752459, 0.0036379127885167533, 1761310825619163702, 
0.018798028187722693, -0.005059222941088464, 0.003712016760503584, 1761310825715468015, 
0.019702236202916, 0.002442317440462144, 0.003986458442138363, 1761310825827627549, 
0.020008841020884738, 0.0037423665055373325, 0.004076602514027934, 1761310825924492020, 
0.019502639967467594, -0.0007212947757858076, 0.0037867392418844048, 1761310826019478665, 
0.019102012649829803, -0.003176351804251996, 0.0037195529308099834, 1761310826114868981, 
0.019717694067821423, 0.0004257305296370059, 0.0040398165345805976, 1761310826227279796, 
0.02152685947951838, 0.008110210605965512, 0.0041914634073190495, 1761310826323238587, 
0.02229550231366817, 0.008949562515584457, 0.004068634409065076, 1761310826419377569, 
0.022967413156327776, 0.005011269345873354, 0.004265610727835271, 1761310826514837259, 
