x, y, theta, stamp, 
0.0, 0.0, -3.2565793310557605e-11, 1761313557842438029, 
2.075592320238684e-08, -2.3962947182099015e-08, 2.38380874399962e-07, 1761313557912674000, 
2.075592320238684e-08, -2.3962947182099015e-08, 2.3837591406684813e-07, 1761313557958201493, 
2.075592320238684e-08, -2.3962947182099015e-08, 2.3837045706947346e-07, 1761313558001288755, 
2.075592320238684e-08, -2.3962947182099015e-08, 2.3836456536190778e-07, 1761313558052335774, 
2.075592320238684e-08, -2.3962947182099015e-08, 2.3835910836445805e-07, 1761313558101373463, 
0.0014607980847358704, -0.00014041198301129043, 0.007942454879483798, 1761313558152266890, 
0.005389169789850712, 0.00015514182450715452, 0.0171902676494183, 1761313558196820414, 
0.010549057275056839, 0.00010448211105540395, 0.027601349591970258, 1761313558241293225, 
0.02141079679131508, 0.0010653891367837787, 0.05073910408681231, 1761313558312505811, 
0.02983342669904232, 0.0018888784106820822, 0.07016885686787602, 1761313558357273887, 
0.05215173959732056, 0.004968258552253246, 0.12385275012010308, 1761313558451208005, 
0.08310575783252716, 0.010093143209815025, 0.19180327370657244, 1761313558551164231, 
0.11091505736112595, 0.016396043822169304, 0.25500570356512375, 1761313558641524264, 
0.14517012238502502, 0.026803236454725266, 0.3329543647579927, 1761313558757215865, 
0.1724257469177246, 0.03731709346175194, 0.3967327339124694, 1761313558851183281, 
0.20082563161849976, 0.050401464104652405, 0.4638098815764169, 1761313558951159442, 
0.23091626167297363, 0.06689175218343735, 0.5332211021162633, 1761313559061018450, 
0.24428445100784302, 0.07493101805448532, 0.5652537407874647, 1761313559111194101, 
0.26731693744659424, 0.09057629108428955, 0.6200090207615655, 1761313559202219107, 
0.2928244471549988, 0.10933336615562439, 0.6638346733056668, 1761313559301188508, 
0.31678396463394165, 0.12862540781497955, 0.6970767732146854, 1761313559402499905, 
0.34260988235473633, 0.15098494291305542, 0.7406264718908379, 1761313559511250203, 
0.363270103931427, 0.17038975656032562, 0.7783181019836549, 1761313559602220224, 
0.394904762506485, 0.20278410613536835, 0.8010292381164458, 1761313559746356324, 
