e (rad), e_dot (rad/s), stamp, 
-2.3561944895733613,1.5147708963670322e-10,1761311481123289879, 
-2.3459834784346643,0.0528486977485874,1761311481187693933, 
-2.3339544256586366,0.181522504075393,1761311481218855553, 
-2.302225481496953,0.2940423269045041,1761311481282811587, 
-2.2730965959916323,0.3659123455767997,1761311481331228079, 
-2.2392008172123554,0.4359512118455495,1761311481379223994, 
-2.197405378808292,0.525560377925677,1761311481427239397, 
-2.1462427453189825,0.6455796541247937,1761311481475221760, 
-2.089008749120512,0.7523818787996395,1761311481523282594, 
-2.0055410108200418,0.8287088575199867,1761311481587723462, 
-1.962824471184094,0.887803746750672,1761311481618945572, 
-1.8797671065192951,0.884063749298393,1761311481683629931, 
-1.7579149147579185,0.8529943740190454,1761311481779204611, 
-1.643169010642498,0.8232415424267941,1761311481875243773, 
-1.5158103367571416,0.7782266790566368,1761311481986971944, 
-1.416025935266666,0.7239127521271055,1761311482083677187, 
-1.3217796339448935,0.6728029681190671,1761311482179206616, 
-1.2317784337371882,0.6412910812257865,1761311482275227869, 
-1.1472947332154115,0.6064801080495306,1761311482370999683, 
-1.0496512552408468,0.5838918899039015,1761311482483292895, 
-0.9715896813042564,0.5610922832916806,1761311482579222687, 
-0.9019859298062674,0.5129102473317945,1761311482675228625, 
-0.8322136130427502,0.4846674238126345,1761311482770937195, 
-0.760696336558766,0.4545021044133823,1761311482883651885, 
-0.7037711870849981,0.4079926494760404,1761311482980220354, 
-0.6489965040937826,0.3886022649603578,1761311483075261314, 
-0.5918178280626369,0.3622854328818659,1761311483187260155, 
-0.5513398027047578,0.3113275788935468,1761311483282850390, 
-0.5146412226686068,0.2667825294134809,1761311483380221474, 
-0.4795664622726914,0.2486862967187577,1761311483475232576, 
-0.44515088737757,0.2257377865960428,1761311483586953864, 
-0.4200370912572406,0.189827806920272,1761311483683015231, 
-0.3970042886636364,0.1661204517229403,1761311483780230229, 
-0.3758805452397094,0.1530851412265038,1761311483875241425, 
-0.3549008169178549,0.1468822098631965,1761311483971338692, 
-0.3279480814774627,0.1529734829290158,1761311484083360390, 
-0.3087148845716756,0.1470738841106268,1761311484179229735, 
-0.2896486070103621,0.1330557509827875,1761311484275258091, 
-0.2664011113653397,0.1349194410207166,1761311484387995134, 
-0.2496399338307449,0.1272965655072326,1761311484483402682, 
-0.2334838875220475,0.1147549977481844,1761311484579235801, 
-0.2186708367992103,0.1075864669051437,1761311484675315764, 
-0.2066296532735498,0.0932692619717864,1761311484771159425, 
-0.1903692404291193,0.0902420866653225,1761311484883228582, 
-0.1802754207999291,0.0833495417912638,1761311484979400536, 
-0.16996501136546,0.0709804719123615,1761311485074880147, 
-0.1595439948770454,0.0668087870847218,1761311485187611806, 
-0.1525009231459853,0.0552493274392978,1761311485283688091, 
-0.1490243182449142,0.0487043676379808,1761311485331439701, 
-0.1398240254511629,0.0455863866795015,1761311485475299619, 
-0.1307493323329418,0.0530005252708163,1761311485570774022, 
-0.1272200082957701,0.0558440442172327,1761311485619465306, 
-0.1212459822934928,0.041999801574196,1761311485731096558, 
-0.1115772871370217,0.0399874325742704,1761311485876607349, 
-0.1043619714527168,0.0439636608156713,1761311485986858432, 
-0.1024591331157172,0.0414617973026481,1761311486019142216, 
-0.095928033077449,0.0390568725611416,1761311486131303341, 
-0.0877153261558181,0.0382570671071926,1761311486276554096, 
-0.0839843757021552,0.0319741810490297,1761311486371294041, 
-0.0805024405161303,0.0375490816138703,1761311486418818430, 
-0.0753486898327984,0.0397011057352318,1761311486531254813, 
-0.0663878695168711,0.0360175848506237,1761311486675283054, 
-0.0644314421351182,0.0342901821176819,1761311486723405932, 
-0.0594131866435296,0.0310574343490277,1761311486818959947, 
-0.0546272243032044,0.0274403331539735,1761311486979543712, 
-0.0522013408976018,0.0267793478120249,1761311487027548195, 
-0.046322666273368,0.0370680171700464,1761311487124444846, 
-0.0453794949530492,0.0221899810140841,1761311487284293299, 
-0.04214478363353,0.0133117816792944,1761311487379334211, 
-0.0399382162387613,0.0266831716063672,1761311487427287869, 
-0.0373274904844569,0.0243083457455933,1761311487524303154, 
-0.0341939607448402,0.0154832344103369,1761311487684674228, 
-0.0324913112754585,0.0187130663443404,1761311487731194764, 
-0.0304210349206277,0.0169890372553774,1761311487875292599, 
-0.0295187605929472,0.007487274291347,1761311487986757908, 
-0.0276480145618958,0.0154801689289767,1761311488035544059, 
-0.024080349030465,0.0210538329967101,1761311488179310775, 
-0.0235821760625212,0.0100016619160872,1761311488275310278, 
-0.0256519230002951,-0.0126297533668453,1761311488323356117, 
-0.025768430663223,-0.0149701412691289,1761311488386957728, 
-0.024847642985053,0.008856932848815,1761311488419376823, 
-0.025387989673117,0.006639780400751,1761311488483072221, 
-0.0243346453103954,0.0008215695459186,1761311488579285617, 
-0.0255574338367541,-0.0005957430925717,1761311488675301825, 
-0.0240226857123526,-0.0025621727302173,1761311488979289867, 
-0.0214630289926609,0.0105625219321648,1761311489075377212, 
-0.0186173433466381,0.017322554462419,1761311489187726970, 
-0.0172077699535857,0.0143511756368801,1761311489267252831, 
-0.0180630873990335,0.003363545513996,1761311489379292183, 
-0.0166578522103675,0.002332083313248,1761311489475341632, 
-0.0161105176439022,0.0065099150868772,1761311489587055908, 
-0.0151646025190328,0.004904700469354,1761311489683433424, 
-0.0139884357952211,0.0073611707410401,1761311489779299709, 
-0.014281518636956,0.0030736972125715,1761311489875463893, 
-0.0131402134391573,0.0023937457515047,1761311489987039650, 
-0.0113072655112036,0.0097548069339964,1761311490083330936, 
