e, e_dot, e_int, stamp, 
-2.3561944895733613, 1.5147708963670322e-10, -0.22636445837495162, 1761311481123289879, 
-2.3459834784346643, 0.05284869774858742, -0.26457149231404065, 1761311481187693933, 
-2.3339544256586366, 0.18152250407539305, -0.22413757818466265, 1761311481218855553, 
-2.302225481496953, 0.2940423269045041, -0.2213756670273474, 1761311481282811587, 
-2.2730965959916323, 0.3659123455767997, -0.2588042844970334, 1761311481331228079, 
-2.2392008172123554, 0.4359512118455495, -0.21900151827824177, 1761311481379223994, 
-2.197405378808292, 0.525560377925677, -0.21473580281645963, 1761311481427239397, 
-2.1462427453189825, 0.6455796541247937, -0.21064626409468984, 1761311481475221760, 
-2.089008749120512, 0.7523818787996395, -0.20593764377024706, 1761311481523282594, 
-2.0055410108200418, 0.8287088575199867, -0.23403325955684726, 1761311481587723462, 
-1.962824471184094, 0.887803746750672, -0.1931554859366147, 1761311481618945572, 
-1.8797671065192951, 0.884063749298393, -0.18695791560303737, 1761311481683629931, 
-1.7579149147579185, 0.8529943740190454, -0.2991772627983699, 1761311481779204611, 
-1.6431690106424979, 0.8232415424267941, -0.33729471841860015, 1761311481875243773, 
-1.5158103367571416, 0.7782266790566368, -0.3405233358304929, 1761311481986971944, 
-1.416025935266666, 0.7239127521271055, -0.31786132337805767, 1761311482083677187, 
-1.3217796339448937, 0.6728029681190671, -0.27256415283262536, 1761311482179206616, 
-1.2317784337371882, 0.6412910812257865, -0.25345884100704086, 1761311482275227869, 
-1.1472947332154115, 0.6064801080495306, -0.23659930306655683, 1761311482370999683, 
-1.0496512552408468, 0.5838918899039015, -0.23779921201683812, 1761311482483292895, 
-0.9715896813042564, 0.5610922832916806, -0.21992067181289543, 1761311482579222687, 
-0.9019859298062674, 0.5129102473317945, -0.18702389418292092, 1761311482675228625, 
-0.8322136130427502, 0.4846674238126345, -0.17291301662008224, 1761311482770937195, 
-0.760696336558766, 0.4545021044133823, -0.1733314441822457, 1761311482883651885, 
-0.7037711870849981, 0.40799264947604047, -0.16021889450048815, 1761311482980220354, 
-0.6489965040937826, 0.3886022649603578, -0.13498654518894385, 1761311483075261314, 
-0.5918178280626369, 0.3622854328818659, -0.1342021996437416, 1761311483187260155, 
-0.5513398027047578, 0.3113275788935468, -0.12401054030180374, 1761311483282850390, 
-0.5146412226686068, 0.26678252941348096, -0.1066303511318995, 1761311483380221474, 
-0.4795664622726914, 0.24868629671875778, -0.09911193474671876, 1761311483475232576, 
-0.44515088737757, 0.22573778659604282, -0.09918734590748915, 1761311483586953864, 
-0.42003709125724065, 0.18982780692027204, -0.09313888268493378, 1761311483683015231, 
-0.39700428866363646, 0.16612045172294035, -0.08131731111818409, 1761311483780230229, 
-0.3758805452397094, 0.15308514122650385, -0.0764369471375908, 1761311483875241425, 
-0.3549008169178549, 0.14688220986319656, -0.07184312744063147, 1761311483971338692, 
-0.3279480814774627, 0.15297348292901589, -0.07344722534144921, 1761311484083360390, 
-0.3087148845716756, 0.14707388411062683, -0.06871240968067796, 1761311484179229735, 
-0.2896486070103621, 0.1330557509827875, -0.05925235375993721, 1761311484275258091, 
-0.2664011113653397, 0.1349194410207166, -0.060177642458461945, 1761311484387995134, 
-0.2496399338307449, 0.12729656550723267, -0.05589998104381436, 1761311484483402682, 
-0.23348388752204752, 0.11475499774818443, -0.047779882688715226, 1761311484579235801, 
-0.2186708367992103, 0.10758646690514377, -0.04489452525902909, 1761311484675315764, 
-0.20662965327354987, 0.09326926197178648, -0.0421454283941933, 1761311484771159425, 
-0.1903692404291193, 0.09024208666532252, -0.042668542875315435, 1761311484883228582, 
-0.1802754207999291, 0.08334954179126385, -0.0400707482012615, 1761311484979400536, 
-0.16996501136546005, 0.07098047191236152, -0.03453622993562505, 1761311485074880147, 
-0.1595439948770454, 0.06680878708472181, -0.035380954326909214, 1761311485187611806, 
-0.1525009231459853, 0.055249327439297814, -0.03354916744773198, 1761311485283688091, 
-0.14902431824491424, 0.048704367637980826, -0.02210487256722539, 1761311485331439701, 
-0.1398240254511629, 0.045586386679501545, -0.028189202467095775, 1761311485475299619, 
-0.13074933233294184, 0.05300052527081639, -0.03347470829519441, 1761311485570774022, 
-0.12722000829577018, 0.05584404421723279, -0.01911605130164922, 1761311485619465306, 
-0.12124598229349282, 0.04199980157419605, -0.020265587420315607, 1761311485731096558, 
-0.11157728713702175, 0.039987432574270496, -0.03086075466765108, 1761311485876607349, 
-0.10436197145271686, 0.0439636608156713, -0.028746376364478896, 1761311485986858432, 
-0.1024591331157172, 0.041461797302648186, -0.01512762413825035, 1761311486019142216, 
-0.09592803307744902, 0.039056872561141695, -0.014576857212362685, 1761311486131303341, 
-0.08771532615581812, 0.038257067107192684, -0.02454872680941256, 1761311486276554096, 
-0.08398437570215522, 0.03197418104902971, -0.021409389148855488, 1761311486371294041, 
-0.08050244051613031, 0.037549081613870376, -0.011959789939408345, 1761311486418818430, 
-0.07534868983279841, 0.03970110573523184, -0.01278809090031402, 1761311486531254813, 
-0.06638786951687115, 0.03601758485062379, -0.018998813846239474, 1761311486675283054, 
-0.0644314421351182, 0.03429018211768196, -0.013205137395765211, 1761311486723405932, 
-0.05941318664352968, 0.03105743434902777, -0.009110671434242656, 1761311486818959947, 
-0.054627224303204436, 0.027440333153973536, -0.01523779474695727, 1761311486979543712, 
-0.05220134089760187, 0.026779347812024942, -0.011558691920553603, 1761311487027548195, 
-0.04632266627336801, 0.03706801717004645, -0.007397262371368116, 1761311487124444846, 
-0.04537949495304927, 0.022189981014084124, -0.012315506539598505, 1761311487284293299, 
-0.042144783633530025, 0.01331178167929447, -0.01137205426084733, 1761311487379334211, 
-0.03993821623876137, 0.026683171606367236, -0.006075481546225605, 1761311487427287869, 
-0.03732749048445694, 0.02430834574559333, -0.005770270856709834, 1761311487524303154, 
-0.03419396074484027, 0.015483234410336907, -0.00956273266165145, 1761311487684674228, 
-0.03249131127545857, 0.01871306634434043, -0.007173122631718851, 1761311487731194764, 
-0.030421034920627754, 0.01698903725537747, -0.0061700820143018075, 1761311487875292599, 
-0.029518760592947224, 0.007487274291347018, -0.007873994751468386, 1761311487986757908, 
-0.027648014561895806, 0.015480168928976712, -0.004678691480932301, 1761311488035544059, 
-0.024080349030465076, 0.02105383299671018, -0.005214788899128704, 1761311488179310775, 
-0.02358217606252122, 0.010001661916087203, -0.006018974447966882, 1761311488275310278, 
-0.025651923000295174, -0.012629753366845369, -0.0035202015830459923, 1761311488323356117, 
-0.025768430663223096, -0.014970141269128948, -0.002791280395820503, 1761311488386957728, 
-0.024847642985053042, 0.008856932848815089, -0.002441102294467151, 1761311488419376823, 
-0.025387989673117062, 0.006639780400751062, -0.002435030670691868, 1761311488483072221, 
-0.02433464531039542, 0.0008215695459186262, -0.003974814406066028, 1761311488579285617, 
-0.02555743383675413, -0.0005957430925717834, -0.004823685939470866, 1761311488675301825, 
-0.024022685712352665, -0.002562172730217354, -0.009855406693850512, 1761311488979289867, 
-0.02146302899266095, 0.01056252193216488, -0.009474205048848739, 1761311489075377212, 
-0.018617343346638116, 0.017322554462419013, -0.004453818571242371, 1761311489187726970, 
-0.01720776995358575, 0.01435117563688012, -0.003664065921269117, 1761311489267252831, 
-0.018063087399033506, 0.0033635455139960717, -0.003441034881713329, 1761311489379292183, 
-0.01665785221036753, 0.0023320833132480317, -0.0036019276368130515, 1761311489475341632, 
-0.016110517643902256, 0.006509915086877299, -0.0035203109687081866, 1761311489587055908, 
-0.015164602519032844, 0.004904700469354082, -0.0033248193723490124, 1761311489683433424, 
-0.013988435795221132, 0.007361170741040142, -0.00290054601472405, 1761311489779299709, 
-0.014281518636956037, 0.003073697212571598, -0.002780252780716023, 1761311489875463893, 
-0.013140213439157389, 0.0023937457515047582, -0.0028675152767970455, 1761311489987039650, 
-0.011307265511203646, 0.009754806933996446, -0.0026834940689432446, 1761311490083330936, 
