x, y, theta, stamp, 
0.0, 0.0, 3.447726581042214e-13, 1761310821267339559, 
0.0, 0.0, 1.1739943640977652e-13, 1761310821314854458, 
0.0, 0.0, 3.447726581042214e-13, 1761310821427287653, 
0.0, 0.0, 1.1739943640977652e-13, 1761310821475129126, 
0.0, 0.0, 3.447726581042214e-13, 1761310821523251801, 
0.0, 0.0, 1.1739943640977652e-13, 1761310821571173469, 
0.0, 0.0, 3.447726581042214e-13, 1761310821619145539, 
0.001017236616462469, -2.237431544926949e-05, -0.006672318435105615, 1761310821668225406, 
0.0034476695582270622, -0.00030252354918047786, -0.024480826768202457, 1761310821715577673, 
0.014804795384407043, -0.0014254808193072677, -0.08976634337908476, 1761310821828154344, 
0.029285237193107605, -0.0038330014795064926, -0.1768365398005415, 1761310821923121733, 
0.04847386106848717, -0.008675146847963333, -0.29770126700370253, 1761310822019178958, 
0.07073263823986053, -0.017214549705386162, -0.43775135638878504, 1761310822115335762, 
0.09634639322757721, -0.031403835862874985, -0.6068321129375004, 1761310822228153174, 
0.11559109389781952, -0.04639000445604324, -0.7511032733996009, 1761310822323165845, 
0.1327834129333496, -0.06444842368364334, -0.8944223904352255, 1761310822419194370, 
0.1471267193555832, -0.08472421020269394, -1.036859658488811, 1761310822515439724, 
0.16071386635303497, -0.11081937700510025, -1.1987966488358985, 1761310822627159146, 
0.169026181101799, -0.13539743423461914, -1.3313519317982323, 1761310822723211883, 
0.17430560290813446, -0.16151726245880127, -1.4614884819587195, 1761310822819219382, 
0.17595107853412628, -0.19386619329452515, -1.6025433786284864, 1761310822931526003, 
0.17371419072151184, -0.22232913970947266, -1.7174381546271804, 1761310823027160035, 
0.1680198460817337, -0.25003674626350403, -1.8256347770944956, 1761310823123163397, 
0.15963608026504517, -0.2775963246822357, -1.9235132259005856, 1761310823219226526, 
0.1459708958864212, -0.3095736801624298, -2.033602229690899, 1761310823331463176, 
0.1317475438117981, -0.33569690585136414, -2.1203737241004474, 1761310823427162032, 
0.1153017058968544, -0.36063408851623535, -2.1978666193875016, 1761310823523158465, 
0.0969824567437172, -0.3844510614871979, -2.2691719966173003, 1761310823619218878, 
0.07745867967605591, -0.40691155195236206, -2.332724289098423, 1761310823714808184, 
0.05285070464015007, -0.4315228760242462, -2.395402753415032, 1761310823827163609, 
0.030476046726107597, -0.4517291784286499, -2.444748821364376, 1761310823923147770, 
0.007433600258082151, -0.4705888628959656, -2.4867954443957965, 1761310824019229271, 
