e (rad), e_dot (rad/s), stamp, 
-2.356194490192689,9.21004339769279e-13,1761310821427287653, 
-2.356194490192462,9.101158867935647e-13,1761310821475129126, 
-2.356194490192689,9.257272103070056e-15,1761310821523251801, 
-2.356194490192462,6.6061498793694014e-15,1761310821571173469, 
-2.356194490192689,1.6616758674085698e-15,1761310821619145539, 
-2.350041718737573,0.0417874770992062,1761310821668225406, 
-2.333585813694166,0.1576277953929529,1761310821715577673, 
-2.274489183566396,0.2908221909508168,1761310821828154344, 
-2.1957075275900686,0.4515036583856335,1761310821923121733, 
-2.0865028799710563,0.655478696113864,1761310822019178958, 
-1.9612445469510464,0.8131724410251143,1761310822115335762, 
-1.8111498670911252,0.8776892734440604,1761310822228153174, 
-1.6832138476096683,0.8923121911760689,1761310822323165845, 
-1.5568424154980485,0.887497801972449,1761310822419194370, 
-1.4312827053684585,0.8735191673015082,1761310822515439724, 
-1.289093219885333,0.8591056101109741,1761310822627159146, 
-1.1734339925726431,0.8256198433677392,1761310822723211883, 
-1.0600278048886478,0.795114775077021,1761310822819219382, 
-0.9381100974887552,0.7556003890928951,1761310822931526003, 
-0.83899160908115,0.7073381004449137,1761310823027160035, 
-0.7451698335154842,0.6712370851811856,1761310823123163397, 
-0.6609504225152665,0.6179949833364878,1761310823219226526, 
-0.5657482531286724,0.5749787079876724,1761310823331463176, 
-0.4904345939280361,0.545071034631818,1761310823427162032, 
-0.4231949575421878,0.4958082991731896,1761310823523158465, 
-0.3610730917025901,0.4490449022830692,1761310823619218878, 
-0.3056787911021557,0.4087329724267487,1761310823714808184, 
-0.2511024193448872,0.3550835530694945,1761310823827163609, 
-0.2078816043919689,0.3120128866149803,1761310823923147770, 
-0.1709546054401296,0.2782070235766702,1761310824019229271, 
-0.1382155333301962,0.2416278249541512,1761310824115364152, 
-0.1079634592827076,0.2035796738427866,1761310824227331944, 
-0.0854346254719811,0.1684151789715197,1761310824323174837, 
-0.0655300857675977,0.1470626579576966,1761310824419738844, 
-0.045997649843863,0.1269831253341216,1761310824531466766, 
-0.0305669182404693,0.1120250518872331,1761310824627159019, 
-0.0179755711581881,0.097029498899246,1761310824724138790, 
-0.0100371469801467,0.0710978903861755,1761310824819256565, 
-0.0032908071412918,0.0512672487531955,1761310824915163107, 
0.0031873177945236,0.042728798798292,1761310825027157024, 
0.0078461317326938,0.035264402066637,1761310825124317538, 
0.0106564983826382,0.0258512419727631,1761310825219249328, 
0.0132758030432067,0.0176883685509145,1761310825330894179, 
0.0177396563793603,0.02326520468032,1761310825427233764, 
0.0202546832228951,0.0241800278283351,1761310825523206962, 
0.0188687974324173,0.0039208979752459,1761310825619163702, 
0.0187980281877226,-0.0050592229410884,1761310825715468015, 
0.019702236202916,0.0024423174404621,1761310825827627549, 
0.0200088410208847,0.0037423665055373,1761310825924492020, 
0.0195026399674675,-0.0007212947757858,1761310826019478665, 
0.0191020126498298,-0.0031763518042519,1761310826114868981, 
0.0197176940678214,0.000425730529637,1761310826227279796, 
0.0215268594795183,0.0081102106059655,1761310826323238587, 
0.0222955023136681,0.0089495625155844,1761310826419377569, 
0.0229674131563277,0.0050112693458733,1761310826514837259, 
0.0209311566320868,-0.0036836922035227,1761310826627401282, 
0.0174159723902569,-0.0182510294172996,1761310826723278681, 
0.0162789331481287,-0.0161730623786192,1761310826819183916, 
0.0148545958792087,-0.008179932600629,1761310826931478499, 
0.0142933439234855,-0.0061833645742915,1761310827027154741, 
0.0145153330234286,-0.0004154456312004,1761310827075206190, 
0.0121113540665316,-0.0039867184514797,1761310827220199095, 
0.01258549232183,-0.0038646984344416,1761310827315295275, 
0.0121273779245987,0.0002971172821466,1761310827427179782, 
0.0130251984568507,0.0017482005778187,1761310827523315121, 
0.0151469958712144,0.0104165070308953,1761310827620154904, 
0.0134011602204666,0.0011832520516971,1761310827715240709, 
0.0135578312210769,-0.0056578527605819,1761310827828191296, 
0.0134898662027098,0.0002238022691155,1761310827923158439, 
0.0122339282187708,-0.008955090470316,1761310827971187390, 
0.0109545052731636,-0.0113784051082371,1761310828131403393, 
0.0103379389162245,-0.00480448033873,1761310828227324803, 
0.0103532277241948,-0.0020896530443137,1761310828323559995, 
0.0122342267058344,0.0066110793498551,1761310828419166568, 
0.0097674602857034,-0.000806277362928,1761310828530819308, 
0.0088543940553575,-0.0104416918068458,1761310828629722974, 
0.0085374305154339,-0.0042082413911257,1761310828723144012, 
0.0085191124937145,-0.0011944562071034,1761310828819292052, 
0.0107669801126077,0.0077224283226412,1761310828915528309, 
